,image_name,image_url
1600438,004ccb5669b648ab.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/004ccb5669b648ab.jpg
1601326,0058130f1215717d.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/0058130f1215717d.jpg
1601599,0019757ca6f64107.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/0019757ca6f64107.jpg
1603999,0066ab1ab47e1068.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/0066ab1ab47e1068.jpg
1604247,0035ea7a3b1ecfab.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/0035ea7a3b1ecfab.jpg
1604820,00590698e36371be.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/00590698e36371be.jpg
1605548,0039f32a93794e4d.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/0039f32a93794e4d.jpg
1606095,007f97c18d03cf0d.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/007f97c18d03cf0d.jpg
1606371,00611c5be2ecb69b.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/00611c5be2ecb69b.jpg
1607569,00729cbff3e95243.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/00729cbff3e95243.jpg
1608674,00056e547b7c00d6.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/00056e547b7c00d6.jpg
1609117,0013eebbcafa70e5.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/0013eebbcafa70e5.jpg
1610801,00580afd0b1b8187.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/00580afd0b1b8187.jpg
1610902,005f880c2c4577b3.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/005f880c2c4577b3.jpg
1612977,001f2bec02f16977.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/001f2bec02f16977.jpg
1615419,00218e254b8a046b.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/00218e254b8a046b.jpg
1622391,000c24660cd3fd95.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000c24660cd3fd95.jpg
1623167,006700b3ec495e3f.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/006700b3ec495e3f.jpg
1623628,003650854be08229.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/003650854be08229.jpg
1623981,006b53fff1573500.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/006b53fff1573500.jpg
1626048,00478d2ee36ede12.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/00478d2ee36ede12.jpg
1626623,00781ca1a6634c2d.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/00781ca1a6634c2d.jpg
1627298,0047264e06512e75.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/0047264e06512e75.jpg
1627660,005f808223ab5769.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/005f808223ab5769.jpg
1627769,0033bd289dcf6d23.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/0033bd289dcf6d23.jpg
1629608,007e0e568b2cc586.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/007e0e568b2cc586.jpg
1630775,002921d5385824be.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/002921d5385824be.jpg
1632703,0032df877f964819.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/0032df877f964819.jpg
1634118,00067fe83e3e21c8.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/00067fe83e3e21c8.jpg
1636707,0060697dc3c9edc6.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/0060697dc3c9edc6.jpg
1638575,0019edb653711193.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/0019edb653711193.jpg
1638626,004a23a25aa05c9c.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/004a23a25aa05c9c.jpg
1642344,005f449bb4cfb8ff.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/005f449bb4cfb8ff.jpg
1643363,0071dc035a60427e.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/0071dc035a60427e.jpg
1651641,0072ffcb6e5e4c3d.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/0072ffcb6e5e4c3d.jpg
1651953,005618f36de854ce.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/005618f36de854ce.jpg
1654169,0000de486dc6c49f.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/0000de486dc6c49f.jpg
1655611,007a77e35eb669f1.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/007a77e35eb669f1.jpg
1658656,0079f3c74309b582.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/0079f3c74309b582.jpg
1659879,006461a46fcb5f37.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/006461a46fcb5f37.jpg
1659992,001adacc7f6ddca5.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/001adacc7f6ddca5.jpg
1661047,0025ee05cb199d32.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/0025ee05cb199d32.jpg
1664171,00341202d021b919.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/00341202d021b919.jpg
1664601,007d9ec191c44dfb.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/007d9ec191c44dfb.jpg
1665137,000bd897ca7df023.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000bd897ca7df023.jpg
1668048,007f9ffc01c7b106.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/007f9ffc01c7b106.jpg
1668153,003eae3f991df25f.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/003eae3f991df25f.jpg
1671130,00142fa70fe03ffa.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/00142fa70fe03ffa.jpg
1675117,006f01cf218054be.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/006f01cf218054be.jpg
1676122,0057cac2d33e6470.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/0057cac2d33e6470.jpg
1678111,002453dd6bee632f.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/002453dd6bee632f.jpg
1678263,005bf84ac699ba71.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/005bf84ac699ba71.jpg
1682961,00717cbab483b655.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/00717cbab483b655.jpg
1684218,0032ddc2c9157859.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/0032ddc2c9157859.jpg
1684625,0057b367e43ea580.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/0057b367e43ea580.jpg
1686437,0027717ee5abd636.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/0027717ee5abd636.jpg
1686778,002a264d37889e1d.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/002a264d37889e1d.jpg
1695820,001175fd73c3039b.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/001175fd73c3039b.jpg
1696473,003c6e3318508588.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/003c6e3318508588.jpg
1697557,005f4899fd5be1ef.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/005f4899fd5be1ef.jpg
1697670,005666aa098abe8e.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/005666aa098abe8e.jpg
1699411,0035f4bb6c105250.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/0035f4bb6c105250.jpg
1700184,0025cbded55ded0f.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/0025cbded55ded0f.jpg
1705775,0018e9995b29da7a.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/0018e9995b29da7a.jpg
1708119,005e7f4f5878c8ea.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/005e7f4f5878c8ea.jpg
1708773,002ab35b7cc8de83.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/002ab35b7cc8de83.jpg
1708999,003d781673058c75.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/003d781673058c75.jpg
1709059,004b6bf1ef1414b6.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/004b6bf1ef1414b6.jpg
1709079,0026e4a8ad8b3c51.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/0026e4a8ad8b3c51.jpg
1709651,0008ab3d8674f6ca.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/0008ab3d8674f6ca.jpg
1709743,0072da6899aa49cf.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/0072da6899aa49cf.jpg
1710167,00616b368bd46090.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/00616b368bd46090.jpg
1710610,006e4a3026035451.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/006e4a3026035451.jpg
1712567,003fde0096630566.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/003fde0096630566.jpg
1714252,002d766cbb19c1a0.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/002d766cbb19c1a0.jpg
1714858,005664c2555044ac.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/005664c2555044ac.jpg
1715546,003713e607fa8f6a.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/003713e607fa8f6a.jpg
1716268,00378f0670e91c2c.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/00378f0670e91c2c.jpg
1717163,0024101aa00840a0.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/0024101aa00840a0.jpg
1719778,0079e6612a9dd201.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/0079e6612a9dd201.jpg
1720377,007d37e4644c527f.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/007d37e4644c527f.jpg
1721313,0023a8e6a689f1c1.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/0023a8e6a689f1c1.jpg
1721614,00286659b2adaef2.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/00286659b2adaef2.jpg
